query,intent
"overview of multi-agent reinforcement learning",research
"explain cooperative MARL",research
"best project management tool for remote teams",commercial
"recommended invoicing software freelancer",commercial
"top CRM for small business kenya",commercial
"affordable HR software kenya",commercial
"best recruitment platform kenya",commercial
"recommended job board kenya",commercial
"top skills assessment platform",commercial
"best coding test platform for hiring",commercial
"recommended background check service kenya",commercial
"top reference check tools",commercial
"best employee monitoring software remote",commercial
"recommended time tracking tool freelancers",commercial
"top expense management app",commercial
"best travel booking tool corporate",commercial
"recommended fleet management system kenya",commercial
"top fuel card kenya",commercial
"best telematics system kenya",commercial
"recommended GPS tracker vehicle",commercial
"top cold chain solution kenya",commercial
"best warehouse management system",commercial
"recommended inventory software kenya",commercial
"top point of sale system retail",commercial
"best barcode scanner kenya",commercial
"recommended label printer kenya",commercial
"top receipt printer kenya",commercial
"best cash register kenya",commercial
"recommended price gun kenya",commercial
"top thermal printer kenya",commercial
"best paper shredder office",commercial
"recommended binding machine kenya",commercial
"top laminator machine kenya",commercial
"best projector for office kenya",commercial
"recommended interactive whiteboard",commercial
"top conference room speaker",commercial
"best video conference camera",commercial
"recommended desk phone VOIP kenya",commercial
"top headset for call center",commercial
"best power strip surge protector",commercial
"recommended extension cable kenya",commercial
"top portable charger laptop",commercial
"best USB hub kenya",commercial
"recommended SD card speed",commercial
"top external hard drive",commercial
"best NVMe SSD brand",commercial
"how to make githeri",general
"how to prepare nyoyo",general
"how to cook matoke",general
"how to make kenyan pilau",general
"how to prepare mursik",general
"how to make fermented milk kenya",general
"traditional medicine kenya",general
"herbal remedies nairobi",general
"natural cough remedy",general
"tips for reducing stress naturally",general
"how to sleep better at night",general
"tips for improving memory",general
"how to focus while studying",general
"how to prepare for KCPE",general
"tips for KCSE revision",general
"how to apply for university kenya",general
"KUCCPS application tips",general
"how to get attachment kenya",general
"internship application tips kenya",general
"how to write a proposal kenya",general
"tips for winning a tender kenya",general
"how to register a company kenya",general
"how to get a trademark kenya",general
"tips for protecting intellectual property",general
"how to get a patent kenya",general
"how to start farming kenya",general
"tips for small scale farming",general
"how to apply fertilizer",general
"tips for irrigation kenya",general
"how to keep chickens at home",general
"tips for rabbit farming",general
"how to start fish farming kenya",general
"tips for beekeeping kenya",general
"how to grow mushrooms kenya",general
"tips for greenhouse farming",general
"how to make money from agriculture",general
"tips for agribusiness kenya",general
"how to export produce from kenya",general
"tips for value addition food",general
"how to make mandazi sell",general
"how to start chapati business",general
"tips for catering business kenya",general
"how to start juice business",general
"tips for bakery business nairobi",general
"how to open a restaurant kenya",general
